"Name","Location","Type","Data Type","Namespace","Reference Count"
"CAL_tpstarget_sport_shifting","4000c972","Data Label","u16_factor_1/1023[16]","Global","1"
"CAL_revlimit_airflow_gain_from_rpm_delta_X_gear","4000c992","Data Label","uint8_t[7]","Global","1"
"CAL_revlimit_airflow_gain_from_rpm_delta","4000c999","Data Label","u8_factor_1/255[7]","Global","1"
"CAL_revlimit_airflow_gain_from_integrator_X_gear","4000c9a0","Data Label","uint8_t[7]","Global","1"
"CAL_revlimit_airflow_gain_from_integrator","4000c9a7","Data Label","u8_factor_1/255[7]","Global","1"
"CAL_revlimit_airflow_gain_from_rpm_X_gear","4000c9ae","Data Label","uint8_t[7]","Global","1"
"CAL_revlimit_airflow_gain_from_rpm","4000c9b5","Data Label","u8_factor_1/255[7]","Global","1"
"CAL_obd_ii_coolant_warmup_thresholds","4000c9c4","Data Label","uint8_t[2]","Global","1"
"CAL_oil_pressure_low_timer_threshold","4000c9d6","Data Label","uint8_t","Global","1"
"CAL_cac_dutycycle_tolerance","4000c9d7","Data Label","u8_factor_1/255","Global","1"
"CAL_cluster_test_enable???","4000c9d8","Data Label","bool","Global","1"
"CAL_obd_ii_monitor_debounce_cycles","4000c9d9","Data Label","uint8_t","Global","9"
"CAL_sensor_iat_voltage_threshold","4000c9ee","Data Label","u16_voltage_5/1023v[2]","Global","2"
"CAL_obd_ii_postcat_o2_voltage_scaling_unknown","4000c9fa","Data Label","uint8_t","Global","4"
